Element,a1,b1,a2,b2,a3,b3,a4,b4,c
Ra,3.58E+01,6.16E-01,2.29E+01,3.87E+00,1.25E+01,2.00E+01,3.21E+00,1.42E+02,1.36E+01
Ac,3.57E+01,5.89E-01,2.31E+01,3.65E+00,1.26E+01,1.86E+01,4.09E+00,1.17E+02,1.35E+01
Th,3.56E+01,5.63E-01,2.34E+01,3.46E+00,1.27E+01,1.78E+01,4.81E+00,9.92E+01,1.34E+01
Pa,3.59E+01,5.48E-01,2.33E+01,3.42E+00,1.42E+01,1.69E+01,4.17E+00,1.05E+02,1.34E+01
U,3.60E+01,5.29E-01,2.34E+01,3.33E+00,1.49E+01,1.61E+01,4.19E+00,1.01E+02,1.34E+01
Np,3.62E+01,5.12E-01,2.36E+01,3.25E+00,1.56E+01,1.54E+01,4.19E+00,9.75E+01,1.34E+01
Pu,3.65E+01,4.99E-01,2.38E+01,3.26E+00,1.68E+01,1.49E+01,3.48E+00,1.06E+02,1.34E+01
Am,3.67E+01,4.84E-01,2.41E+01,3.21E+00,1.73E+01,1.43E+01,3.49E+00,1.02E+02,1.34E+01
Cm,3.66E+01,4.65E-01,2.44E+01,3.09E+00,1.74E+01,1.34E+01,4.22E+00,8.85E+01,1.33E+01
Bk,3.68E+01,4.51E-01,2.48E+01,3.05E+00,1.79E+01,1.29E+01,4.23E+00,8.60E+01,1.33E+01
Cf,3.69E+01,4.38E-01,2.52E+01,3.01E+00,1.83E+01,1.24E+01,4.24E+00,8.38E+01,1.33E+01
